Complexity Measure,Value
F1,0.0028918336000000044
F1v,0.02533064330000001
F2,0.3012048234
F3,0.003306823899999922
F4,0.004051543899999954
N1,0.019056971099999986
N2,0.009703551000000032
N3,0.010297466500000019
N4,0.0010826674999999952
N5,0.011193584199999995
N6,0.004197210499999993
L1,0.0075342047999999995
L2,0.009693232199999985
L3,0.008666867299999992
D1,-0.0012285583
D2,-0.00026238110000000004
D3,-0.009523809500000008
B1,-0.02604709059999999
B2,-0.02407522949999996
G1,0.009156830200000021
G2,0.019341277200000007
G3,0.01440940479999997
