Complexity Measure,Value
F1,-5.7890800000071074e-05
F1v,-0.0238307277
F2,0.15206981779999995
F3,0.02778159849999995
F4,0.028538600799999925
N1,-0.02232181900000002
N2,-0.012567311099999978
N3,-0.0128950018
N4,-0.0072424385000000036
N5,-0.018575642000000003
N6,0.0001284890000000649
L1,-0.0093834988
L2,-0.012316492600000006
L3,-0.007795110699999996
D1,-0.0020347197
D2,-0.0004236134
D3,-0.009523809500000008
B1,0.03147203450000002
B2,0.03093372900000002
G1,-0.005555398699999992
G2,0.007256152200000088
G3,-0.057699856699999996
