Complexity Measure,Value
F1,0.00734233679999996
F1v,0.018107920599999994
F2,0.04801641590000005
F3,0.0004340086000000909
F4,0.0004340086000000909
N1,0.0077819214000000025
N2,0.003592890800000026
N3,0.0034076121000000126
N4,0.0054709945000000065
N5,0.0023488336000000443
N6,0.0005760377000000316
L1,0.002460270999999986
L2,0.007544812799999995
L3,0.01487338860000001
D1,-0.0013193677000000001
D2,-0.0002805402
D3,-0.009523809500000008
B1,-0.0012024481
B2,-0.0033274227
G1,0.0061007809999999996
G2,0.029157480199999974
G3,0.030965601400000042
