Complexity Measure,Value
F1,-0.0023951375999999858
F1v,-0.01881747119999999
F2,0.056104651199999966
F3,3.13640000000337e-05
F4,3.13640000000337e-05
N1,-0.010340444999999976
N2,-0.003986354899999989
N3,-0.003684172099999994
N4,-0.001394784799999993
N5,-0.0004203136999999524
N6,0.00035384840000007856
L1,-0.0019131501000000106
L2,-0.006229394599999993
L3,-0.005637308499999993
D1,-0.001896973
D2,-0.00039606129999999995
D3,-0.009523809500000008
B1,-0.0016977876
B2,-0.0046943753
G1,-0.0007364492000000444
G2,0.003818373799999941
G3,-0.008381760399999938
