Complexity Measure,Value
F1,0.0029497244000000755
F1v,0.04916137100000001
F2,0.14913500560000004
F3,-0.024474774600000027
F4,-0.02448705689999997
N1,0.04137879010000001
N2,0.02227086210000001
N3,0.02319246830000002
N4,0.008325105999999999
N5,0.0297692262
N6,0.004068721499999928
L1,0.0169177036
L2,0.02200972479999999
L3,0.016461977999999988
D1,0.0008061614000000003
D2,0.00016123229999999997
D3,0.0
B1,-0.05751912510000001
B2,-0.05500895849999998
G1,0.014712228900000013
G2,0.012085124999999919
G3,0.07210926149999997
