Complexity Measure,Value
F1,0.009737474399999946
F1v,0.036925391799999985
F2,-0.008088235299999913
F3,0.0004026446000000572
F4,0.0004026446000000572
N1,0.01812236639999998
N2,0.007579245700000015
N3,0.007091784200000006
N4,0.0068657792999999995
N5,0.0027691472999999966
N6,0.00022218929999995307
L1,0.004373421099999997
L2,0.013774207399999988
L3,0.020510697100000003
D1,0.0005776052999999998
D2,0.00011552109999999997
D3,0.0
B1,0.0004953395
B2,0.0013669526000000005
G1,0.006837230200000044
G2,0.025339106400000033
G3,0.03934736179999998
