Complexity Measure,Value
F1,-0.002297015999999985
F1v,0.011572800000000008
F2,-0.008852781000000002
F3,-0.025243556000000056
F4,0.10636500999999998
N1,-0.07672656199999997
N2,-0.005096953999999987
N3,-0.056051096999999994
N4,-0.010716608000000002
N5,-0.018683698999999998
N6,-0.002708982999999998
L1,0.017954941000000002
L2,0.032885906000000006
L3,0.0017969280000000032
D1,-0.0022082699999999983
D2,-0.0016886810000000044
D3,-2.0000000544584395e-09
B1,0.007953529
B2,0.021127049
G1,-0.0017963170000000472
G2,-0.029177606000000023
G3,0.021682246000000016
