Complexity Measure,Value
F1,-0.03632233000000007
F1v,-0.04612735
F2,0.007005559999999999
F3,0.02293683999999996
F4,0.09616715999999997
N1,-0.06297096000000002
N2,-0.019543750000000026
N3,-0.04395725
N4,-0.0052425599999999985
N5,-0.15591732000000003
N6,-0.011639479999999924
L1,-0.0434357
L2,-0.058009330000000005
L3,-0.024712790000000005
D1,-0.028400139999999997
D2,-0.020162539999999996
D3,0.05882353000000007
B1,0.01007131
B2,0.026003899999999996
G1,-0.020489659999999965
G2,0.023430459999999986
G3,-0.06160461000000006
