Complexity Measure,Value
F1,-0.038619346000000054
F1v,-0.03455454999999999
F2,-0.001847221000000003
F3,-0.0023067160000000975
F4,0.20253216999999996
N1,-0.139697522
N2,-0.024640704000000013
N3,-0.100008347
N4,-0.015959168000000003
N5,-0.17460101900000002
N6,-0.014348462999999922
L1,-0.025480759
L2,-0.025123424
L3,-0.022915862000000002
D1,-0.030608409999999996
D2,-0.021851221
D3,0.058823528000000014
B1,0.018024839
B2,0.04713094899999999
G1,-0.022285977000000012
G2,-0.005747146000000036
G3,-0.039922364000000043
