Complexity Measure,Value
F1,-0.0016611410000000326
F1v,0.011458775000000004
F2,0.008658209999999998
F3,0.06514833199999992
F4,0.11430584899999996
N1,0.01932160799999999
N2,-0.007800491999999992
N3,-0.004962945999999996
N4,0.005538876000000001
N5,-0.14291921900000004
N6,-0.01680541499999999
L1,0.0014158169999999998
L2,0.007231312000000004
L3,-0.010067280999999999
D1,0.0037112970000000023
D2,0.003056362
D3,-1.999999943436137e-09
B1,0.024937956
B2,0.065934708
G1,-0.015300812999999969
G2,0.02120902899999999
G3,-0.032119680000000095
