Complexity Measure,Value
F1,-0.014740320000000029
F1v,-0.03103665
F2,0.02011433
F3,0.13091381000000002
F4,0.36096602000000005
N1,-0.04611338000000001
N2,-0.008167160000000007
N3,-0.02087498
N4,-0.0031225299999999984
N5,-0.04422696000000004
N6,0.015344000000000024
L1,-0.02641591
L2,-0.036468230000000004
L3,-0.008694670000000002
D1,-0.045834208
D2,-0.034931977999999995
D3,0.013071920000000015
B1,-0.0173639194826
B2,-0.046826859499699995
G1,0.0009826800000000135
G2,0.07175963000000002
G3,-0.01282247000000003
