Complexity Measure,Value
F1,0.02158201000000004
F1v,0.015090699999999999
F2,0.013108770000000002
F3,0.10797697000000006
F4,0.2647988600000001
N1,0.01685758000000001
N2,0.01137659000000002
N3,0.023082270000000002
N4,0.00212003
N5,0.11169035999999999
N6,0.02698347999999995
L1,0.01701979
L2,0.0215411
L3,0.016018120000000004
D1,-0.017434068000000004
D2,-0.014769438000000001
D3,-0.045751610000000054
B1,-0.0274352294826
B2,-0.0728307594997
G1,0.02147233999999998
G2,0.04832917000000003
G3,0.04878214000000003
