Complexity Measure,Value
F1,-0.008526029999999962
F1v,-0.0018996699999999922
F2,0.0034671200000000006
F3,0.04271413000000002
F4,0.08139336000000008
N1,-0.05247653999999999
N2,-0.01075961999999997
N3,-0.03575183999999999
N4,-0.00413146
N5,-0.06846611999999996
N6,0.0012122500000000258
L1,-0.0016963300000000028
L2,0.001835110000000001
L3,-0.00511781
D1,-0.005562768000000001
D2,-0.004993068
D3,-0.045751610000000054
B1,-0.0241655094826
B2,-0.0644780794997
G1,0.006198909999999946
G2,-0.013654869999999986
G3,0.007768879999999978
