Complexity Measure,Value
F1,-0.017037336000000014
F1v,-0.01946384999999999
F2,0.011261549
F3,0.10567025399999996
F4,0.46733103000000004
N1,-0.12283994199999998
N2,-0.013264113999999994
N3,-0.076926077
N4,-0.013839138
N5,-0.06291065900000004
N6,0.012635017000000026
L1,-0.008460968999999999
L2,-0.003582323999999998
L3,-0.006897741999999998
D1,-0.048042478
D2,-0.036620659
D3,0.01307191799999996
B1,-0.0094103904826
B2,-0.0256998104997
G1,-0.0008136370000000337
G2,0.042582023999999996
G3,0.008859775999999986
