Complexity Measure,Value
F1,0.019920869000000008
F1v,0.026549475000000003
F2,0.02176698
F3,0.17312530199999998
F4,0.37910470900000004
N1,0.036179188
N2,0.0035760980000000275
N3,0.018119324000000006
N4,0.007658906000000001
N5,-0.031228859000000053
N6,0.010178064999999958
L1,0.018435607
L2,0.028772412000000004
L3,0.005950839000000003
D1,-0.013722771
D2,-0.011713076000000001
D3,-0.045751612
B1,-0.0024972734826000003
B2,-0.0068960514997
G1,0.00617152700000001
G2,0.06953819900000002
G3,0.016662459999999935
