Complexity Measure,Value
F1,-0.044771823999999905
F1v,-0.043564167
F2,-0.019186210000000002
F3,-0.313238455
F4,-0.328479294
N1,-0.12367860899999998
N2,-0.02595702099999997
N3,-0.090706571
N4,-0.011128345000000001
N5,-0.16690355099999998
N6,-0.017451926000000006
L1,-0.036260681
L2,-0.044869737
L3,-0.033930897
D1,0.005865421999999999
D2,0.004830353000000001
D3,1.999999943436137e-09
B1,0.023189658999999998
B2,0.05745834600000001
G1,-0.01980965900000009
G2,0.0003996659999999652
G3,-0.04215207300000001
