Complexity Measure,Value
F1,-0.03466118900000004
F1v,-0.057586125
F2,-0.0016526499999999986
F3,-0.04221149199999996
F4,-0.018138688999999986
N1,-0.08229256800000001
N2,-0.011743258000000034
N3,-0.03899430400000001
N4,-0.010781435999999998
N5,-0.012998100999999984
N6,0.005165935000000066
L1,-0.044851517
L2,-0.06524064200000002
L3,-0.014645509000000004
D1,-0.032111437
D2,-0.023218901999999996
D3,0.05882353200000001
B1,-0.014866646
B2,-0.039930808
G1,-0.0051888469999999964
G2,0.002221430999999996
G3,-0.029484929999999965
