Complexity Measure,Value
F1,0.01255606500000006
F1v,0.009590546000000005
F2,-0.13565593
F3,0.025951179999999963
F4,0.024083069000000012
N1,0.020580364000000018
N2,0.014429636999999995
N3,-0.02511052800000002
N4,0.002817730000000001
N5,0.055903234999999996
N6,0.012363603000000056
L1,0.0036251070000000024
L2,0.022090412000000004
L3,0.032489570999999995
D1,-0.01369948
D2,-0.004249950000000001
D3,-0.01923076900000001
B1,-0.020918209
B2,-0.055228988
G1,0.003858974000000015
G2,0.004251965999999996
G3,-0.033027535
