Complexity Measure,Value
F1,-0.00658600499999995
F1v,-0.038591479999999984
F2,0.05036992000000001
F3,0.027187669999999997
F4,0.050690506000000024
N1,-0.052693133
N2,-0.03362524899999997
N3,-0.05208433499999998
N4,-0.0027235739999999994
N5,-0.073103912
N6,8.51499999999783e-05
L1,-0.011766786000000015
L2,-0.01614918700000001
L3,0.0007529879999999961
D1,-0.015348137000000005
D2,-0.004662117
D3,-0.01923076900000001
B1,-0.003326735000000001
B2,-0.009030426
G1,-0.006254758999999943
G2,0.005949323000000006
G3,0.06205664600000005
